 0        0          119    79   150
 PPPR     RSRR         1     0     0
 PPPRR    SRSSP        1     1     0
 PPPRR    SSRSS        0     1     0
 PPPR     RSSS        15     4     0
 PPPRR    SSSPP        2     5     0
 PPPRR    SSSRR        1     0     0
 PPPRR    SSSSP        6     5     3
 PPPRR    SSSSS        2     0     0
 PPPRS    PSRSS        1     0     0
 PPPR     SPSS         1     0     0
 PPPRS    PSSRP        0     1     0
 PPPRS    PSSRR        1     0     0
 PPPRS    PSSSR        1     2     4
 PPP      RSR          1     0     4
 PPPRS    RPRSS        0     1     0
 PPPR     SRPS         0     0     1
 PPPRS    RRPPS        0     1     0
 PPPRS    RRRRR        1     0     0
 PPPRS    RRSSR        1     0     1
 PPPRS    RRSSS        0     1     0
 PPPR     SRSS         2     0     0
 PPPRS    RSSSP        0     2     2
 PPP      RSS         19     5    32
 PPPR     SSRS         1     0     0
 PPPR     SSSP         7     2     3
 PPPR     SSSR         1     0     1
 PPPR     SSSS        16     4     5
 PPPRS    SSSPP        1     1     0
 PPPRS    SSSSP        1     1     2
 PP       PS          77    55   120
 PPP      SPP          0     1     3
 PPPSP    PPSPS        0     1     0
 PPPS     PPRP         1     0     0
 PPPS     PPSP         0     1     1
 PPPSP    PSRPP        0     1     0
 PPPSP    PSRSS        0     0     1
 PPPS     PPSS         0     2     0
 PPPSP    PSSRR        1     0     0
 PPPSP    PSSSR        3     0     0
 PPPSP    PSSSS        4     1     0
 PPPSP    RRPPR        1     0     0
 PPPSP    RRSSP        2     0     0
 PPPSP    RRSSS        1     2     0
 PPPSP    RSSSP        0     0     1
 PPP      SPS          1     0     6
 PPPSP    SPPSR        0     0     1
 PPPS     PSRP         0     0     1
 PPPS     PSRS         0     0     1
 PPPS     PSSR         1     0     1
 PPPS     PSSS         2     9     8
 PPPSP    SSSPP        0     0     1
 PPPSP    SSSSR        3     1     1
 PPP      SRP          1     0     2
 PPPSR    PPRPR        0     1     0
 PPPS     RPSR         0     1     0
 PPPSR    PSSRS        1     0     0
 PPPSR    PSSSP        1     0     0
 PPPSR    PSSSR        1     0     0
 PPP      SRR          0     0     2
 PPPS     RRPP         0     1     1
 PPPSR    RRSSS        1     1     1
 PPPS     RRSS         3     2     6
 PPPSR    RSSSP        1     0     0
 PPPSR    RSSSR        1     0     1
 PPP      SRS          2     0     5
 PPPSR    SSRRS        0     0     1
 PPPS     RSSS         3     1     1
 PPPSR    SSSPP        1     1     0
 PPPSR    SSSPS        0     0     1
 PPPSR    SSSRR        0     1     0
 PPPSR    SSSSR        5     2     1
 PPP      SSP          0     0     5
 PPPS     SPPS         0     0     1
 PPPSS    PPSPS        0     1     0
 PPPSS    PPSSR        1     0     1
 PPPSS    PSSSP        1     0     0
 PPPSS    PSSSR        0     1     0
 PPPSS    PSSSS        2     4     1
 PPP      SSR          1     3     5
 PPPSS    RPSRS        0     1     0
 PPPSS    RRPPS        0     0     1
 PPPSS    RRSSS        0     0     2
 PPPSS    RSSSR        0     0     1
 PPP      SSS         39    33   116
 PPPS     SSRR         1     0     0
 PPPS     SSRS         0     2     0
 PPPS     SSSP         5     2     1
 PPPS     SSSR         1     0     0
 PPPSS    SSRSR        1     0     1
 PPPS     SSSS         8     9     5
 PPPSS    SSSPP        1     1     0
 PPPSS    SSSSR        4     2     2
 PP       RP           4     2    11
 PPR      PPP          0     0     1
 PPRP     PPPP         0     1     0
 PPRPP    PRPRS        1     0     0
 PPRPP    PRRSR        0     1     0
 PPRPP    PSRRS        0     1     0
 PPRPP    PSSPR        0     0     2
 PPRPP    PSSPS        2     0     0
 PPRP     PRPR         0     0     1
 PPRPP    RPSRS        1     0     0
 PPRPP    RPSSS        0     0     1
 PPRPP    RRPRR        0     0     1
 PPRP     PRRR         1     0     0
 PPRPP    RRRPS        0     1     0
 PPRP     PRRS         0     2     1
 PPRPP    RRSPR        0     1     0
 PPRPP    RRSSR        0     0     1
 PPRPP    RRSSS        4     2     3
 PPRPP    RSRRR        1     0     0
 PPRP     PRSS         1     0     0
 PPRPP    RSSPP        0     0     1
 PPRPP    RSSPS        2     0     0
 PPR      PPS          1     3     0
 PPRP     PSPR         1     0     0
 PPRP     PSRR         0     0     1
 PPRP     PSSP         0     0     4
 PPRP     PSSR         2     1     0
 PPRPP    SSSRP        2     0     0
 PPR      PRP          1     1     1
 PPRPR    PRRRS        0     0     1
 PPRPR    PRSSR        0     1     0
 PPRPR    PSPRR        0     0     1
 PPRP     RPSR         0     0     1
 PPRP     RPSS         0     0     1
 PPRPR    PSSRP        0     0     1
 PPR      PRR          1     0     4
 PPRP     RRPR         0     0     1
 PPRP     RRRP         0     0     1
 PPRPR    RRSSS        2     3     0
 PPRP     RRSP         0     1     1
 PPRP     RRSS         5     2    10
 PPR      PRS          0     2     1
 PPRPR    SPPSS        0     1     0
 PPRP     RSPR         0     1     0
 PPRPR    SPSPP        1     1     0
 PPRP     RSRP         0     1     0
 PPRP     RSRR         0     1     1
 PPRPR    SRSPR        0     0     1
 PPRP     RSSP         0     1     3
 PPRPR    SSSPP        0     1     1
 PPRPR    SSSRP        0     1     0
 PPRPR    SSSRR        1     0     0
 PPR      PSP          0     0     1
 PPRPS    PPPPR        0     1     0
 PPRP     SPPS         1     0     0
 PPRPS    PRRSP        0     1     0
 PPRPS    PRRSS        1     0     0
 PPRP     SPSP         2     0     0
 PPRPS    PSSRP        0     1     0
 PPR      PSR          1     1     1
 PPRPS    RRSPS        0     1     0
 PPRPS    RRSSS        0     1     0
 PPRP     SRSP         1     2     0
 PPRPS    RSPRR        0     0     1
 PPRPS    RSRPR        0     1     0
 PPRPS    RSRRR        0     1     0
 PPRPS    RSSPR        1     0     0
 PPR      PSS         51    14     7
 PPRPS    SRSPP        0     0     1
 PPRPS    SRSPR        0     0     1
 PPRP     SSSP         2     0     0
 PPRP     SSSR         2     3     3
 PPRPS    SSSRS        2     1     0
 PP       RR          38    35    70
 PPR      RPP          2     0     0
 PPRR     PPSR         0     1     0
 PPRRP    PSSPP        0     1     0
 PPRRP    PSSPR       22     0     0
 PPRRP    PSSPS        5     3     2
 PPRRP    PSSRR        0     0     1
 PPRRP    PSSSS        0     0     1
 PPRRP    RPPPP        0     0     1
 PPRR     PRPS         0     1     0
 PPRRP    RRPSR        0     0     1
 PPRRP    RRRPR        0     0     1
 PPRR     PRRS         0     1     0
 PPRRP    RRSSR        1     1     0
 PPRRP    RSSPR        1     2     0
 PPRRP    RSSRP        0     2     0
 PPRRP    RSSRR        0     0     2
 PPRRP    RSSRS        2     2     0
 PPR      RPS          0     0     2
 PPRR     PSRR         0     1     0
 PPRR     PSSP         2     7    33
 PPRR     PSSR         2     4     1
 PPRR     PSSS         1     0     1
 PPRRP    SSSRR        2     3     2
 PPR      RRP          1     0     1
 PPRR     RPPP         0     1     1
 PPRRR    PSSPS        1     0     1
 PPRRR    PSSRP        0     1     0
 PPRRR    PSSRR        1     0     0
 PPRRR    PSSSS        1     0     0
 PPR      RRR          2     0     1
 PPRR     RRPS         0     0     1
 PPRR     RRRP         1     0     1
 PPRRR    RRRPS        1     0     0
 PPRR     RRSR         0     1     0
 PPRRR    RSRRP        1     0     0
 PPRR     RRSS         0     3     2
 PPRRR    RSSSP        0     1     0
 PPRRR    RSSSR        0     0     3
 PPRRR    RSSSS        2     0     0
 PPR      RRS          6     7    19
 PPRRR    SPSPP        1     0     0
 PPRRR    SPSPS        0     1     0
 PPRRR    SPSSS        1     0     0
 PPRR     RSRR         1     0     0
 PPRRR    SRSPS        0     1     0
 PPRRR    SRSRS        1     0     0
 PPRR     RSSP         0     5     3
 PPRR     RSSR         0     0     8
 PPRR     RSSS         6     1     0
 PPRRR    SSSPP        0     0     1
 PPRRR    SSSRR        0     2     3
 PPR      RSP          0     0     1
 PPRR     SPPS         0     1     0
 PPRRS    PPSRP        1     0     0
 PPRRS    PRPSR        0     1     0
 PPRRS    PRRSS        0     1     0
 PPRR     SPSP         2     0     0
 PPRRS    PSRRR        0     0     1
 PPRR     SPSS         1     0     0
 PPRRS    PSSPS        7     0     0
 PPRRS    PSSRP        0     1     1
 PPRRS    PSSRR        2     0     0
 PPR      RSR          1     1     3
 PPRRS    RPPPS        1     0     0
 PPRRS    RRSRS        0     1     0
 PPRRS    RRSSR        1     0     0
 PPRRS    RRSSS        1     1     0
 PPRR     SRSP         1     0     0
 PPRR     SRSR         1     0     0
 PPRRS    RSSPP        0     1     0
 PPRRS    RSSPR        1     0     2
 PPRRS    RSSPS        1     0     0
 PPRRS    RSSSR        0     0     1
 PPR      RSS         23     8     4
 PPRRS    SPPSR        0     0     1
 PPRR     SSPS         0     1     0
 PPRR     SSSP         1     3     0
 PPRRS    SSPSP        1     0     0
 PPRR     SSSR         5     7     7
 PPRRS    SSSPP        0     1     0
 PPRRS    SSSPR        2     0     0
 PPRRS    SSSRP        0     2     0
 PPRRS    SSSRR        1     2     1
 PPRRS    SSSRS        0     1     0
 PP       RS          41    34    61
 PPR      SPP          1     0     1
 PPRSP    PPSRP        1     0     0
 PPRSP    PRPRS        1     0     0
 PPRSP    PRSSS        1     0     0
 PPRS     PPSR         1     0     1
 PPRSP    PSRPP        1     0     0
 PPRS     PPSS         1     0     0
 PPRSP    PSSPP        2     0     0
 PPRSP    PSSRP        0     1     0
 PPRSP    PSSRS        1     0     1
 PPRS     PRPR         0     0     1
 PPRSP    RRSSP        0     1     0
 PPRS     PRSS         0     1     1
 PPRSP    RSSPR        0     0     1
 PPRSP    RSSPS        1     0     0
 PPR      SPS          3     0     2
 PPRS     PSRP         0     0     1
 PPRS     PSSP         4     3     2
 PPRS     PSSR         1     0     3
 PPRSP    SSRSR        0     1     0
 PPRS     PSSS         1     0     0
 PPRSP    SSSPS        0     1     0
 PPRSP    SSSRP        0     0     1
 PPRSP    SSSRR        0     2     3
 PPRSP    SSSRS        0     0     1
 PPRSP    SSSSR        0     0     1
 PPRSR    PPSRR        0     1     0
 PPRSR    PPSSR        0     0     1
 PPRSR    PSSPP        0     1     2
 PPRSR    PSSPS        0     1     0
 PPRSR    PSSRS        0     1     0
 PPRSR    PSSSS        0     1     0
 PPRSR    RRSSP        1     0     1
 PPRSR    RRSSR        0     0     1
 PPRS     RRSS         3     3     1
 PPRSR    RSSPP        0     1     2
 PPRSR    RSSPS        0     0     1
 PPR      SRS          2     0     3
 PPRS     RSRS         0     1     0
 PPRS     RSSP         4     2     2
 PPRSR    SSSPP        0     0     1
 PPRSR    SSSPS        0     0     1
 PPRSR    SSSRS        0     1     2
 PPR      SSP          1     0     0
 PPRSS    PRSSS        0     1     0
 PPRSS    PSSPP        0     0     3
 PPR      SSR          0     1     0
 PPRSS    RRSSP        1     1     0
 PPRSS    RSRSS        0     0     1
 PPRSS    RSSPP        0     2     0
 PPR      SSS         23    22    10
